DATE,INDEX,EXPIRYDATE,DAY,RANGE_USED,REF_PRICE,UPPER_RANGE,LOWER_RANGE,ENTRY_TIME,EXIT_TIME,INDEX_ENTRY,INDEX_EXIT,STRIKE,TYPE,ENTRY_PRICE,EXIT_PRICE,QTY,PNL,EXIT_REASON
2022-01-03,NIFTY,2022-01-06,Monday,77.4,17471.85,17549.25,17394.449999999997,2022-01-03 09:20:00+05:30,2022-01-03 09:20:00+05:30,17471.85,,17450,CE,119.30000305175781,121.80000305175781,-1,-2.5,SL_HIT
2022-01-03,NIFTY,2022-01-06,Monday,77.4,17471.85,17549.25,17394.449999999997,2022-01-03 09:20:00+05:30,2022-01-03 09:20:00+05:30,17471.85,,17450,PE,100.94999694824219,101.0,-1,-0.0500030517578125,SL_HIT
2022-01-03,NIFTY,2022-01-06,Monday,77.4,17555.4,17632.800000000003,17478.0,2022-01-03 12:31:00+05:30,2022-01-03 12:31:00+05:30,17555.4,,17550,CE,93.69999694824219,96.0,-1,-2.3000030517578125,SL_HIT
2022-01-03,NIFTY,2022-01-06,Monday,77.4,17555.4,17632.800000000003,17478.0,2022-01-03 12:31:00+05:30,2022-01-03 12:31:00+05:30,17555.4,,17550,PE,99.8499984741211,100.0,-1,-0.15000152587890625,SL_HIT
2022-01-03,NIFTY,2022-01-06,Monday,77.4,17639.55,17716.95,17562.149999999998,2022-01-03 14:33:00+05:30,2022-01-03 14:33:00+05:30,17639.55,,17650,CE,90.55000305175781,99.5,-1,-8.949996948242188,SL_HIT
2022-01-03,NIFTY,2022-01-06,Monday,77.4,17639.55,17716.95,17562.149999999998,2022-01-03 14:33:00+05:30,2022-01-03 14:33:00+05:30,17639.55,,17650,PE,118.25,118.8499984741211,-1,-0.5999984741210938,SL_HIT
2022-01-04,NIFTY,2022-01-06,Tuesday,128.0,17667.55,17795.55,17539.55,2022-01-04 09:20:00+05:30,2022-01-04 09:20:00+05:30,17667.55,,17650,CE,118.44999694824219,118.44999694824219,-1,-0.0,SL_HIT
2022-01-04,NIFTY,2022-01-06,Tuesday,128.0,17667.55,17795.55,17539.55,2022-01-04 09:20:00+05:30,2022-01-04 09:20:00+05:30,17667.55,,17650,PE,79.94999694824219,95.69999694824219,-1,-15.75,SL_HIT
2022-01-04,NIFTY,2022-01-06,Tuesday,128.0,17796.35,17924.35,17668.35,2022-01-04 15:02:00+05:30,2022-01-04 15:02:00+05:30,17796.35,,17800,CE,67.75,69.55000305175781,-1,-1.8000030517578125,SL_HIT
2022-01-04,NIFTY,2022-01-06,Tuesday,128.0,17796.35,17924.35,17668.35,2022-01-04 15:02:00+05:30,2022-01-04 15:02:00+05:30,17796.35,,17800,PE,82.8499984741211,83.94999694824219,-1,-1.0999984741210938,SL_HIT
2022-01-05,NIFTY,2022-01-06,Wednesday,83.8,17818.15,17901.95,17734.350000000002,2022-01-05 09:20:00+05:30,2022-01-05 09:20:00+05:30,17818.15,,17800,CE,82.0,83.0999984741211,-1,-1.0999984741210938,SL_HIT
2022-01-05,NIFTY,2022-01-06,Wednesday,83.8,17818.15,17901.95,17734.350000000002,2022-01-05 09:20:00+05:30,2022-01-05 09:20:00+05:30,17818.15,,17800,PE,69.05000305175781,71.19999694824219,-1,-2.149993896484375,SL_HIT
2022-01-05,NIFTY,2022-01-06,Wednesday,83.8,17902.1,17985.899999999998,17818.3,2022-01-05 12:51:00+05:30,2022-01-05 12:51:00+05:30,17902.1,,17900,CE,58.54999923706055,62.0,-1,-3.450000762939453,SL_HIT
2022-01-05,NIFTY,2022-01-06,Wednesday,83.8,17902.1,17985.899999999998,17818.3,2022-01-05 12:51:00+05:30,2022-01-05 12:51:00+05:30,17902.1,,17900,PE,64.9000015258789,65.0,-1,-0.09999847412109375,SL_HIT
2022-01-06,NIFTY,2022-01-06,Thursday,79.9,17752.55,17832.45,17672.649999999998,2022-01-06 09:20:00+05:30,2022-01-06 09:20:00+05:30,17752.55,,17750,CE,52.20000076293945,53.849998474121094,-1,-1.6499977111816406,SL_HIT
2022-01-06,NIFTY,2022-01-06,Thursday,79.9,17752.55,17832.45,17672.649999999998,2022-01-06 09:20:00+05:30,2022-01-06 09:20:00+05:30,17752.55,,17750,PE,45.099998474121094,48.349998474121094,-1,-3.25,SL_HIT
2022-01-06,NIFTY,2022-01-06,Thursday,79.9,17672.4,17752.300000000003,17592.5,2022-01-06 10:43:00+05:30,2022-01-06 10:43:00+05:30,17672.4,,17650,CE,56.0,56.0,-1,-0.0,SL_HIT
2022-01-06,NIFTY,2022-01-06,Thursday,79.9,17672.4,17752.300000000003,17592.5,2022-01-06 10:43:00+05:30,2022-01-06 10:43:00+05:30,17672.4,,17650,PE,29.950000762939453,34.20000076293945,-1,-4.25,SL_HIT
2022-01-06,NIFTY,2022-01-06,Thursday,79.9,17754.05,17833.95,17674.149999999998,2022-01-06 13:42:00+05:30,2022-01-06 13:42:00+05:30,17754.05,,17750,CE,24.600000381469727,29.049999237060547,-1,-4.44999885559082,SL_HIT
2022-01-06,NIFTY,2022-01-06,Thursday,79.9,17754.05,17833.95,17674.149999999998,2022-01-06 13:42:00+05:30,2022-01-06 13:42:00+05:30,17754.05,,17750,PE,21.25,21.5,-1,-0.25,SL_HIT
2022-01-07,NIFTY,2022-01-13,Friday,85.3,17847.35,17932.649999999998,17762.05,2022-01-07 09:20:00+05:30,2022-01-07 09:20:00+05:30,17847.35,,17850,CE,145.1999969482422,153.89999389648438,-1,-8.699996948242188,SL_HIT
2022-01-07,NIFTY,2022-01-13,Friday,85.3,17847.35,17932.649999999998,17762.05,2022-01-07 09:20:00+05:30,2022-01-07 09:20:00+05:30,17847.35,,17850,PE,156.5,156.5,-1,-0.0,SL_HIT
2022-01-07,NIFTY,2022-01-13,Friday,85.3,17759.15,17844.45,17673.850000000002,2022-01-07 12:38:00+05:30,2022-01-07 12:38:00+05:30,17759.15,,17750,CE,153.5,154.0,-1,-0.5,SL_HIT
2022-01-07,NIFTY,2022-01-13,Friday,85.3,17759.15,17844.45,17673.850000000002,2022-01-07 12:38:00+05:30,2022-01-07 12:38:00+05:30,17759.15,,17750,PE,127.55000305175781,136.89999389648438,-1,-9.349990844726562,SL_HIT
2022-01-10,NIFTY,2022-01-13,Monday,77.4,17924.25,18001.65,17846.85,2022-01-10 09:20:00+05:30,2022-01-10 09:20:00+05:30,17924.25,,17900,CE,139.5,145.0,-1,-5.5,SL_HIT
