DATE,INDEX,EXPIRYDATE,DAY,RANGE_USED,INDEX_PRICE,UPPER_RANGE,LOWER_RANGE,ENTRY_TIME,EXIT_TIME,INDEX_ENTRY,INDEX_EXIT,STRIKE,TYPE,ENTRY_PRICE,EXIT_PRICE,QTY,PNL,EXIT_REASON,REF_PRICE
2022-01-03,NIFTY,2022-01-06,Monday,77.4,17472.2,17549.600000000002,,09:20,12:31,17472.2,17549.8,17450,CE,119.3,156.65,-1,-37.34999,UPPER_BREACH,
2022-01-03,NIFTY,2022-01-06,Monday,77.4,,,17394.8,09:20,15:20,17472.2,,17450,PE,100.95,41.7,-1,59.249996,EOD,17472.2
2022-01-03,NIFTY,2022-01-06,Monday,77.4,17549.8,17627.2,,12:31,14:34,17549.8,17638.8,17550,CE,93.7,160.0,-1,-66.3,UPPER_BREACH,
2022-01-03,NIFTY,2022-01-06,Monday,77.4,,,17472.399999999998,12:31,15:20,17549.8,,17550,PE,99.85,69.9,-1,29.949997,EOD,17549.8
2022-01-03,NIFTY,2022-01-06,Monday,77.4,,17716.2,,14:34,15:20,17638.8,,17650,CE,99.7,100.7,-1,-1.0,EOD,17638.8
2022-01-03,NIFTY,2022-01-06,Monday,77.4,,,17561.399999999998,14:34,15:20,17638.8,,17650,PE,107.75,111.0,-1,-3.25,EOD,17638.8
2022-01-04,NIFTY,2022-01-06,Tuesday,128.0,17681.7,17809.7,,09:20,15:18,17681.7,17814.1,17700,CE,90.9,153.0,-1,-62.1,UPPER_BREACH,
2022-01-04,NIFTY,2022-01-06,Tuesday,128.0,,,17553.7,09:20,15:20,17681.7,,17700,PE,102.75,36.05,-1,66.7,EOD,17681.7
2022-01-04,NIFTY,2022-01-06,Tuesday,128.0,,17942.1,,15:18,15:20,17814.1,,17800,CE,85.0,86.8,-1,-1.800003,EOD,17814.1
2022-01-04,NIFTY,2022-01-06,Tuesday,128.0,,,17686.1,15:18,15:20,17814.1,,17800,PE,69.15,67.0,-1,2.1500015,EOD,17814.1
2022-01-05,NIFTY,2022-01-06,Wednesday,83.8,17821.0,17904.8,,09:20,12:54,17821.0,17907.65,17800,CE,82.0,135.7,-1,-53.699997,UPPER_BREACH,
2022-01-05,NIFTY,2022-01-06,Wednesday,83.8,,,17737.2,09:20,15:20,17821.0,,17800,PE,69.05,15.0,-1,54.050003,EOD,17821.0
2022-01-05,NIFTY,2022-01-06,Wednesday,83.8,,17991.45,,12:54,15:20,17907.65,,17900,CE,67.8,65.2,-1,2.600006,EOD,17907.65
2022-01-05,NIFTY,2022-01-06,Wednesday,83.8,,,17823.850000000002,12:54,15:20,17907.65,,17900,PE,59.3,43.4,-1,15.899998,EOD,17907.65
2022-01-06,NIFTY,2022-01-06,Thursday,79.9,,17825.350000000002,,09:20,15:20,17745.45,,17750,CE,52.2,0.9,-1,51.3,EOD,17745.45
2022-01-06,NIFTY,2022-01-06,Thursday,79.9,17745.45,,17665.55,09:20,12:17,17745.45,17663.45,17750,PE,45.1,89.75,-1,-44.65,LOWER_BREACH,
2022-01-06,NIFTY,2022-01-06,Thursday,79.9,17663.45,17743.350000000002,,12:17,13:40,17663.45,17745.55,17650,CE,40.6,98.0,-1,-57.4,UPPER_BREACH,
2022-01-06,NIFTY,2022-01-06,Thursday,79.9,,,17583.55,12:17,15:20,17663.45,,17650,PE,24.95,0.1,-1,24.85,EOD,17663.45
2022-01-06,NIFTY,2022-01-06,Thursday,79.9,,17825.45,,13:40,15:20,17745.55,,17750,CE,20.5,0.9,-1,19.6,EOD,17745.55
2022-01-06,NIFTY,2022-01-06,Thursday,79.9,,,17665.649999999998,13:40,15:20,17745.55,,17750,PE,25.3,4.4,-1,20.9,EOD,17745.55
