DATE,INDEX,EXPIRYDATE,DAY,RANGE_USED,REF_PRICE,UPPER_RANGE,LOWER_RANGE,ENTRY_TIME,EXIT_TIME,INDEX_ENTRY,INDEX_EXIT,STRIKE,TYPE,ENTRY_PRICE,EXIT_PRICE,QTY,PNL,EXIT_REASON,INDEX_PRICE
2021-06-01,NIFTY,2021-06-03,Tuesday,128.0,15601.55,15729.55,,09:20,15:20,15601.55,,15600,CE,73.15,65.65,-1,7.5,EOD,
2021-06-01,NIFTY,2021-06-03,Tuesday,128.0,15601.55,,15473.55,09:20,15:20,15601.55,,15600,PE,91.35,76.2,-1,15.150002,EOD,
2021-06-02,NIFTY,2021-06-03,Wednesday,83.8,15552.5,15636.3,,09:20,15:20,15552.5,,15550,CE,64.3,72.65,-1,-8.349998,EOD,
2021-06-02,NIFTY,2021-06-03,Wednesday,83.8,,,15468.7,09:20,13:13,15552.5,15468.05,15550,PE,66.4,99.95,-1,-33.549995,LOWER_BREACH,15552.5
2021-06-02,NIFTY,2021-06-03,Wednesday,83.8,,15551.849999999999,,13:13,14:57,15468.05,15552.25,15450,CE,71.0,130.0,-1,-59.0,UPPER_BREACH,15468.05
2021-06-02,NIFTY,2021-06-03,Wednesday,83.8,15468.05,,15384.25,13:13,15:20,15468.05,,15450,PE,45.55,11.6,-1,33.949997,EOD,
2021-06-02,NIFTY,2021-06-03,Wednesday,83.8,15552.25,15636.05,,14:57,15:20,15552.25,,15550,CE,58.15,72.65,-1,-14.5,EOD,
2021-06-02,NIFTY,2021-06-03,Wednesday,83.8,15552.25,,15468.45,14:57,15:20,15552.25,,15550,PE,46.7,31.3,-1,15.400002,EOD,
2021-06-03,NIFTY,2021-06-03,Thursday,79.9,15658.9,15738.8,,09:20,15:20,15658.9,,15650,CE,33.25,38.8,-1,-5.549999,EOD,
2021-06-03,NIFTY,2021-06-03,Thursday,79.9,15658.9,,15579.0,09:20,15:20,15658.9,,15650,PE,37.4,0.1,-1,37.300003,EOD,
2021-06-04,NIFTY,2021-06-10,Friday,85.3,15692.6,15777.9,,09:20,15:20,15692.6,,15700,CE,106.6,88.75,-1,17.849998,EOD,
2021-06-04,NIFTY,2021-06-10,Friday,85.3,15692.6,,15607.300000000001,09:20,15:20,15692.6,,15700,PE,120.65,109.55,-1,11.099998,EOD,
2021-06-07,NIFTY,2021-06-10,Monday,77.4,15708.4,15785.8,,09:20,15:20,15708.4,,15700,CE,96.85,117.65,-1,-20.800003,EOD,
2021-06-07,NIFTY,2021-06-10,Monday,77.4,15708.4,,15631.0,09:20,15:20,15708.4,,15700,PE,83.45,59.1,-1,24.349998,EOD,
2021-06-08,NIFTY,2021-06-10,Tuesday,128.0,15759.25,15887.25,,09:20,15:20,15759.25,,15750,CE,74.85,61.5,-1,13.349998,EOD,
2021-06-08,NIFTY,2021-06-10,Tuesday,128.0,15759.25,,15631.25,09:20,15:20,15759.25,,15750,PE,76.15,68.1,-1,8.050003,EOD,
