DATE,INDEX,STRATEGY,TYPE,ACTION,EXPIRY,STRIKE,OPT_TYPE,REQUESTED_TIME,ACTUAL_TIME,MESSAGE
2021-06-01,NIFTY,VolatilityStrangles,ERROR,,,,,,,cannot convert float NaN to integer
2021-06-02,NIFTY,VolatilityStrangles,ERROR,,,,,,,cannot convert float NaN to integer
2023-06-23,NIFTY,VolatilityStrangles,ERROR,,,,,,,No option data for 2023-06-23 | Expiry 2023-06-28
2023-06-26,NIFTY,VolatilityStrangles,ERROR,,,,,,,No option data for 2023-06-26 | Expiry 2023-06-28
2023-06-27,NIFTY,VolatilityStrangles,ERROR,,,,,,,No option data for 2023-06-27 | Expiry 2023-06-28
