Date,Strategy,LegID,OptionType,Strike,Expiry,DTE,SpotPrice,IntendedEntryTime,EntryTime,EntryPrice,EntryDelayed,EntryDelayMinutes,ExitTime,ExitPrice,ExitReason,SLPrice,Qty,PnL
2024-12-02,ITMStraddle,CE,CE,79300,2024-12-06,4,79396.73,09:20,2024-12-02 09:20:00+05:30,754.3499755859375,False,0,2024-12-02 10:16:00+05:30,1065.4000244140625,SL_HIT,1056.0899658203125,-1,-311.050048828125
2024-12-02,ITMStraddle,PE,PE,79500,2024-12-06,4,79396.73,09:20,2024-12-02 09:20:00+05:30,561.5,False,0,2024-12-02 15:15:00+05:30,309.75,TIME_EXIT,786.0999755859375,-1,251.75
2024-12-03,ITMStraddle,CE,CE,80200,2024-12-06,3,80318.32,09:20,2024-12-03 09:20:00+05:30,754.2999877929688,False,0,2024-12-03 13:41:00+05:30,1084.0999755859375,SL_HIT,1056.02001953125,-1,-329.79998779296875
2024-12-03,ITMStraddle,PE,PE,80400,2024-12-06,3,80318.32,09:20,2024-12-03 09:20:00+05:30,587.1500244140625,False,0,2024-12-03 15:15:00+05:30,387.45001220703125,TIME_EXIT,822.010009765625,-1,199.70001220703125
2024-12-04,ITMStraddle,CE,CE,80800,2024-12-06,2,80861.18,09:20,2024-12-04 09:20:00+05:30,605.0,False,0,2024-12-04 15:15:00+05:30,629.9000244140625,TIME_EXIT,847.0,-1,-24.9000244140625
2024-12-04,ITMStraddle,PE,PE,81000,2024-12-06,2,80861.18,09:20,2024-12-04 09:20:00+05:30,618.0,False,0,2024-12-04 11:57:00+05:30,865.9000244140625,SL_HIT,865.2000122070312,-1,-247.9000244140625
2024-12-05,ITMStraddle,CE,CE,81000,2024-12-06,1,81109.69,09:20,2024-12-05 09:20:00+05:30,566.3499755859375,False,0,2024-12-05 12:09:00+05:30,799.4500122070312,SL_HIT,792.8899536132812,-1,-233.10003662109375
2024-12-05,ITMStraddle,PE,PE,81200,2024-12-06,1,81109.69,09:20,2024-12-05 09:20:00+05:30,583.25,False,0,2024-12-05 09:49:00+05:30,819.0499877929688,SL_HIT,816.5499877929688,-1,-235.79998779296875
2024-12-06,ITMStraddle,CE,CE,81600,2024-12-06,0,81740.53,09:20,2024-12-06 09:20:00+05:30,473.29998779296875,False,0,2024-12-06 15:15:00+05:30,110.94999694824219,TIME_EXIT,662.6199951171875,-1,362.3499755859375
2024-12-06,ITMStraddle,PE,PE,81800,2024-12-06,0,81740.53,09:20,2024-12-06 09:20:00+05:30,462.04998779296875,False,0,2024-12-06 15:15:00+05:30,89.6500015258789,TIME_EXIT,646.8699951171875,-1,372.3999938964844
2024-12-09,ITMStraddle,CE,CE,81600,2024-12-13,4,81660.81,09:20,2024-12-09 09:20:00+05:30,712.5999755859375,False,0,2024-12-09 15:15:00+05:30,544.2000122070312,TIME_EXIT,997.6399536132812,-1,168.39996337890625
2024-12-09,ITMStraddle,PE,PE,81800,2024-12-13,4,81660.81,09:20,2024-12-09 09:20:00+05:30,698.0499877929688,False,0,2024-12-09 15:15:00+05:30,740.6500244140625,TIME_EXIT,977.2699584960938,-1,-42.60003662109375
2024-12-10,ITMStraddle,CE,CE,81400,2024-12-13,3,81495.63,09:20,2024-12-10 09:20:00+05:30,628.3499755859375,False,0,2024-12-10 15:15:00+05:30,545.4000244140625,TIME_EXIT,879.68994140625,-1,82.949951171875
2024-12-10,ITMStraddle,PE,PE,81600,2024-12-13,3,81495.63,09:20,2024-12-10 09:20:00+05:30,585.4500122070312,False,0,2024-12-10 15:15:00+05:30,529.7000122070312,TIME_EXIT,819.6300048828125,-1,55.75
2024-12-11,ITMStraddle,CE,CE,81400,2024-12-13,2,81521.73,09:20,2024-12-11 09:20:00+05:30,490.6000061035156,False,0,2024-12-11 15:15:00+05:30,465.54998779296875,TIME_EXIT,686.8400268554688,-1,25.050018310546875
2024-12-11,ITMStraddle,PE,PE,81600,2024-12-13,2,81521.73,09:20,2024-12-11 09:20:00+05:30,478.95001220703125,False,0,2024-12-11 15:15:00+05:30,327.25,TIME_EXIT,670.530029296875,-1,151.70001220703125
2024-12-12,ITMStraddle,CE,CE,81500,2024-12-13,1,81558.0,09:20,2024-12-12 09:20:00+05:30,344.04998779296875,False,0,2024-12-12 15:15:00+05:30,207.75,TIME_EXIT,481.66998291015625,-1,136.29998779296875
2024-12-12,ITMStraddle,PE,PE,81700,2024-12-13,1,81558.0,09:20,2024-12-12 09:20:00+05:30,332.54998779296875,False,0,2024-12-12 12:02:00+05:30,495.1499938964844,SL_HIT,465.5699768066406,-1,-162.60000610351562
2024-12-13,ITMStraddle,CE,CE,80900,2024-12-13,0,80987.14,09:20,2024-12-13 09:20:00+05:30,350.3500061035156,False,0,2024-12-13 11:56:00+05:30,568.5,SL_HIT,490.489990234375,-1,-218.14999389648438
2024-12-13,ITMStraddle,PE,PE,81100,2024-12-13,0,80987.14,09:20,2024-12-13 09:20:00+05:30,315.0,False,0,2024-12-13 09:34:00+05:30,441.25,SL_HIT,441.0,-1,-126.25
2024-12-16,ITMStraddle,CE,CE,81900,2024-12-20,4,82007.79,09:20,2024-12-16 09:20:00+05:30,648.1500244140625,False,0,2024-12-16 15:15:00+05:30,603.25,TIME_EXIT,907.4100341796875,-1,44.9000244140625
2024-12-16,ITMStraddle,PE,PE,82100,2024-12-20,4,82007.79,09:20,2024-12-16 09:20:00+05:30,546.75,False,0,2024-12-16 10:27:00+05:30,800.0,SL_HIT,765.4500122070312,-1,-253.25
2024-12-17,ITMStraddle,CE,CE,81400,2024-12-20,3,81501.1,09:20,2024-12-17 09:20:00+05:30,731.6500244140625,False,0,2024-12-17 15:15:00+05:30,342.3999938964844,TIME_EXIT,1024.31005859375,-1,389.2500305175781
2024-12-17,ITMStraddle,PE,PE,81600,2024-12-20,3,81501.1,09:20,2024-12-17 09:20:00+05:30,599.7999877929688,False,0,2024-12-17 10:20:00+05:30,893.0,SL_HIT,839.719970703125,-1,-293.20001220703125
2024-12-18,ITMStraddle,CE,CE,80600,2024-12-20,2,80747.47,09:20,2024-12-18 09:20:00+05:30,603.7000122070312,False,0,2024-12-18 15:15:00+05:30,286.5,TIME_EXIT,845.1799926757812,-1,317.20001220703125
2024-12-18,ITMStraddle,PE,PE,80800,2024-12-20,2,80747.47,09:20,2024-12-18 09:20:00+05:30,549.7999877929688,False,0,2024-12-18 12:36:00+05:30,866.9000244140625,SL_HIT,769.719970703125,-1,-317.10003662109375
2024-12-19,ITMStraddle,CE,CE,79200,2024-12-20,1,79266.85,09:20,2024-12-19 09:20:00+05:30,518.0999755859375,False,0,2024-12-19 15:15:00+05:30,348.95001220703125,TIME_EXIT,725.3399658203125,-1,169.14996337890625
2024-12-19,ITMStraddle,PE,PE,79400,2024-12-20,1,79266.85,09:20,2024-12-19 09:20:00+05:30,490.54998779296875,False,0,2024-12-19 15:15:00+05:30,481.6499938964844,TIME_EXIT,686.7699584960938,-1,8.899993896484375
2024-12-20,ITMStraddle,CE,CE,79000,2024-12-20,0,79107.28,09:20,2024-12-20 09:20:00+05:30,349.04998779296875,False,0,2024-12-20 09:36:00+05:30,522.4500122070312,SL_HIT,488.66998291015625,-1,-173.4000244140625
