DATE,INDEX,STRATEGY,TYPE,ACTION,EXPIRY,STRIKE,OPT_TYPE,REQUESTED_TIME,ACTUAL_TIME,MESSAGE
2023-06-23,NIFTY,VolatilityStrangles,ERROR,,,,,,,No option data for 2023-06-23 | Expiry 2023-06-28
2023-06-26,NIFTY,VolatilityStrangles,ERROR,,,,,,,No option data for 2023-06-26 | Expiry 2023-06-28
2023-06-27,NIFTY,VolatilityStrangles,ERROR,,,,,,,No option data for 2023-06-27 | Expiry 2023-06-28
